Tip Matrice,Tip alocare,Nr threads,Timp executie
N=10 M=10000 si n=m=5,Dynamic,16,4.43332
N=10 M=10000 si n=m=5,Dynamic,16,4.33126
N=10 M=10000 si n=m=5,Dynamic,16,4.42014
N=10 M=10000 si n=m=5,Dynamic,16,4.5192
N=10 M=10000 si n=m=5,Dynamic,16,4.42622
N=10000 M=10 si n=m=5,Static,Sequential,46.07578
N=10000 M=10 si n=m=5,Static,Sequential,46.0682
N=10000 M=10 si n=m=5,Static,Sequential,46.02217
N=10000 M=10 si n=m=5,Static,Sequential,46.00976
N=10000 M=10 si n=m=5,Static,Sequential,45.90262
N=10000 M=10 si n=m=5,Static,2,22.93186
N=10000 M=10 si n=m=5,Static,2,23.46077
N=10000 M=10 si n=m=5,Static,2,23.45536
N=10000 M=10 si n=m=5,Static,2,23.30187
N=10000 M=10 si n=m=5,Static,2,23.3887
N=10000 M=10 si n=m=5,Static,2,23.37791
N=10000 M=10 si n=m=5,Static,2,23.4262
N=10000 M=10 si n=m=5,Static,2,23.52249
N=10000 M=10 si n=m=5,Static,2,23.41429
N=10000 M=10 si n=m=5,Static,2,23.47055
N=10000 M=10 si n=m=5,Static,2,23.3846
N=10000 M=10 si n=m=5,Static,2,23.44336
N=10000 M=10 si n=m=5,Static,2,23.38114
N=10000 M=10 si n=m=5,Static,2,23.43659
N=10000 M=10 si n=m=5,Static,2,23.4734
N=10000 M=10 si n=m=5,Static,4,11.94205
N=10000 M=10 si n=m=5,Static,4,11.90629
N=10000 M=10 si n=m=5,Static,4,11.92726
N=10000 M=10 si n=m=5,Static,4,11.92531
N=10000 M=10 si n=m=5,Static,4,11.92381
N=10000 M=10 si n=m=5,Static,4,12.00222
N=10000 M=10 si n=m=5,Static,4,11.98905
N=10000 M=10 si n=m=5,Static,4,11.92919
N=10000 M=10 si n=m=5,Static,4,11.8666
N=10000 M=10 si n=m=5,Static,4,11.89447
N=10000 M=10 si n=m=5,Static,4,11.9138
N=10000 M=10 si n=m=5,Static,4,11.90225
N=10000 M=10 si n=m=5,Static,4,11.92782
N=10000 M=10 si n=m=5,Static,4,11.94433
N=10000 M=10 si n=m=5,Static,4,11.90109
N=10000 M=10 si n=m=5,Static,8,6.41672
N=10000 M=10 si n=m=5,Static,8,6.40027
N=10000 M=10 si n=m=5,Static,8,6.44924
N=10000 M=10 si n=m=5,Static,8,6.4104
N=10000 M=10 si n=m=5,Static,8,6.38307
N=10000 M=10 si n=m=5,Static,8,6.38586
N=10000 M=10 si n=m=5,Static,8,6.39012
N=10000 M=10 si n=m=5,Static,8,6.40253
N=10000 M=10 si n=m=5,Static,8,6.41144
N=10000 M=10 si n=m=5,Static,8,6.38365
N=10000 M=10 si n=m=5,Static,8,6.37671
N=10000 M=10 si n=m=5,Static,8,6.41813
N=10000 M=10 si n=m=5,Static,8,6.39247
N=10000 M=10 si n=m=5,Static,8,6.43381
N=10000 M=10 si n=m=5,Static,8,6.42464
N=10000 M=10 si n=m=5,Static,16,4.17784
N=10000 M=10 si n=m=5,Static,16,3.67866
N=10000 M=10 si n=m=5,Static,16,3.43825
N=10000 M=10 si n=m=5,Static,16,3.23422
N=10000 M=10 si n=m=5,Static,16,3.55064
N=10000 M=10 si n=m=5,Static,16,3.29964
N=10000 M=10 si n=m=5,Static,16,3.72541
N=10000 M=10 si n=m=5,Static,16,3.43783
N=10000 M=10 si n=m=5,Static,16,4.22728
N=10000 M=10 si n=m=5,Static,16,3.49166
N=10000 M=10 si n=m=5,Static,16,3.38298
N=10000 M=10 si n=m=5,Static,16,3.27614
N=10000 M=10 si n=m=5,Static,16,3.71767
N=10000 M=10 si n=m=5,Static,16,3.41354
N=10000 M=10 si n=m=5,Static,16,3.2185
N=10000 M=10 si n=m=5,Dynamic,Sequential,21.82091
N=10000 M=10 si n=m=5,Dynamic,Sequential,21.63763
N=10000 M=10 si n=m=5,Dynamic,Sequential,21.67135
N=10000 M=10 si n=m=5,Dynamic,Sequential,21.72587
N=10000 M=10 si n=m=5,Dynamic,Sequential,21.69057
N=10000 M=10 si n=m=5,Dynamic,2,10.87766
N=10000 M=10 si n=m=5,Dynamic,2,10.8178
N=10000 M=10 si n=m=5,Dynamic,2,11.58433
N=10000 M=10 si n=m=5,Dynamic,2,10.94844
N=10000 M=10 si n=m=5,Dynamic,2,11.53651
N=10000 M=10 si n=m=5,Dynamic,2,10.80017
N=10000 M=10 si n=m=5,Dynamic,2,10.83498
N=10000 M=10 si n=m=5,Dynamic,2,11.54763
N=10000 M=10 si n=m=5,Dynamic,2,10.8976
N=10000 M=10 si n=m=5,Dynamic,2,10.81074
N=10000 M=10 si n=m=5,Dynamic,2,10.7958
N=10000 M=10 si n=m=5,Dynamic,2,10.7829
N=10000 M=10 si n=m=5,Dynamic,2,10.88943
N=10000 M=10 si n=m=5,Dynamic,2,10.82565
N=10000 M=10 si n=m=5,Dynamic,2,11.04832
N=10000 M=10 si n=m=5,Dynamic,4,5.61741
N=10000 M=10 si n=m=5,Dynamic,4,5.61313
N=10000 M=10 si n=m=5,Dynamic,4,5.76815
N=10000 M=10 si n=m=5,Dynamic,4,5.6753
N=10000 M=10 si n=m=5,Dynamic,4,5.62691
N=10000 M=10 si n=m=5,Dynamic,4,5.60671
N=10000 M=10 si n=m=5,Dynamic,4,5.65007
N=10000 M=10 si n=m=5,Dynamic,4,5.66427
N=10000 M=10 si n=m=5,Dynamic,4,5.64784
N=10000 M=10 si n=m=5,Dynamic,4,5.89648
N=10000 M=10 si n=m=5,Dynamic,4,6.07319
N=10000 M=10 si n=m=5,Dynamic,4,6.06813
N=10000 M=10 si n=m=5,Dynamic,4,5.65032
N=10000 M=10 si n=m=5,Dynamic,4,6.07267
N=10000 M=10 si n=m=5,Dynamic,4,5.79286
N=10000 M=10 si n=m=5,Dynamic,8,4.1172
N=10000 M=10 si n=m=5,Dynamic,8,3.60919
N=10000 M=10 si n=m=5,Dynamic,8,3.26401
N=10000 M=10 si n=m=5,Dynamic,8,3.69324
N=10000 M=10 si n=m=5,Dynamic,8,3.4045
N=10000 M=10 si n=m=5,Dynamic,8,3.44781
N=10000 M=10 si n=m=5,Dynamic,8,3.85156
N=10000 M=10 si n=m=5,Dynamic,8,3.56519
N=10000 M=10 si n=m=5,Dynamic,8,4.14764
N=10000 M=10 si n=m=5,Dynamic,8,3.45158
N=10000 M=10 si n=m=5,Dynamic,8,3.7216
N=10000 M=10 si n=m=5,Dynamic,8,3.45921
N=10000 M=10 si n=m=5,Dynamic,8,3.44306
N=10000 M=10 si n=m=5,Dynamic,8,3.5512
N=10000 M=10 si n=m=5,Dynamic,8,4.21985
N=10000 M=10 si n=m=5,Dynamic,16,3.76774
N=10000 M=10 si n=m=5,Dynamic,16,3.41292
N=10000 M=10 si n=m=5,Dynamic,16,3.36607
N=10000 M=10 si n=m=5,Dynamic,16,3.32525
N=10000 M=10 si n=m=5,Dynamic,16,3.40059
N=10000 M=10 si n=m=5,Dynamic,16,3.4477
N=10000 M=10 si n=m=5,Dynamic,16,3.33583
N=10000 M=10 si n=m=5,Dynamic,16,3.58396
N=10000 M=10 si n=m=5,Dynamic,16,3.42666
N=10000 M=10 si n=m=5,Dynamic,16,3.44092
N=10000 M=10 si n=m=5,Dynamic,16,3.39639
N=10000 M=10 si n=m=5,Dynamic,16,3.3341
N=10000 M=10 si n=m=5,Dynamic,16,3.30515
N=10000 M=10 si n=m=5,Dynamic,16,3.34885
N=10000 M=10 si n=m=5,Dynamic,16,3.33178
N=M=10 si n=m=3,Static,Sequential,0.01714
N=M=10 si n=m=3,Static,Sequential,0.02116
N=M=10 si n=m=3,Static,Sequential,0.01745
N=M=10 si n=m=3,Static,Sequential,0.01705
N=M=10 si n=m=3,Static,Sequential,0.01678
N=M=10 si n=m=3,Static,4,0.22623
N=M=10 si n=m=3,Static,4,0.21917
N=M=10 si n=m=3,Static,4,0.21854
N=M=10 si n=m=3,Static,4,0.21732
N=M=10 si n=m=3,Static,4,0.2153
N=M=10 si n=m=3,Static,4,0.21639
N=M=10 si n=m=3,Static,4,0.23353
N=M=10 si n=m=3,Static,4,0.21373
N=M=10 si n=m=3,Static,4,0.21971
N=M=10 si n=m=3,Static,4,0.2166
N=M=10 si n=m=3,Static,4,0.21358
N=M=10 si n=m=3,Static,4,0.22816
N=M=10 si n=m=3,Static,4,0.22733
N=M=10 si n=m=3,Static,4,0.22139
N=M=10 si n=m=3,Static,4,0.21272
N=M=10 si n=m=3,Dynamic,Sequential,0.00907
N=M=10 si n=m=3,Dynamic,Sequential,0.00902
N=M=10 si n=m=3,Dynamic,Sequential,0.01085
N=M=10 si n=m=3,Dynamic,Sequential,0.00949
N=M=10 si n=m=3,Dynamic,Sequential,0.01004
N=M=10 si n=m=3,Dynamic,4,0.21604
N=M=10 si n=m=3,Dynamic,4,0.2187
N=M=10 si n=m=3,Dynamic,4,0.22116
N=M=10 si n=m=3,Dynamic,4,0.21954
N=M=10 si n=m=3,Dynamic,4,0.22298
N=M=10 si n=m=3,Dynamic,4,0.21663
N=M=10 si n=m=3,Dynamic,4,0.23179
N=M=10 si n=m=3,Dynamic,4,0.22574
N=M=10 si n=m=3,Dynamic,4,0.2251
N=M=10 si n=m=3,Dynamic,4,0.24373
N=M=10 si n=m=3,Dynamic,4,0.22144
N=M=10 si n=m=3,Dynamic,4,0.23529
N=M=10 si n=m=3,Dynamic,4,0.22855
N=M=10 si n=m=3,Dynamic,4,0.21485
N=M=10 si n=m=3,Dynamic,4,0.22067
N=M=1000 si n=m=5,Static,Sequential,184.16113
N=M=1000 si n=m=5,Static,Sequential,183.07456
N=M=1000 si n=m=5,Static,Sequential,183.55325
N=M=1000 si n=m=5,Static,Sequential,184.78266
N=M=1000 si n=m=5,Static,Sequential,184.24329
N=M=1000 si n=m=5,Static,2,239.86862
N=M=1000 si n=m=5,Static,2,239.83633
N=M=1000 si n=m=5,Static,2,240.72135
N=M=1000 si n=m=5,Static,2,240.14195
N=M=1000 si n=m=5,Static,2,240.32224
N=M=1000 si n=m=5,Static,2,239.11021
N=M=1000 si n=m=5,Static,2,239.98942
N=M=1000 si n=m=5,Static,2,238.5853
N=M=1000 si n=m=5,Static,2,238.34414
N=M=1000 si n=m=5,Static,2,240.45221
N=M=1000 si n=m=5,Static,2,241.96424
N=M=1000 si n=m=5,Static,2,241.70512
N=M=1000 si n=m=5,Static,2,239.25823
N=M=1000 si n=m=5,Static,2,240.63442
N=M=1000 si n=m=5,Static,2,237.3419
N=M=1000 si n=m=5,Static,4,122.85924
N=M=1000 si n=m=5,Static,4,122.83308
N=M=1000 si n=m=5,Static,4,122.14102
